BranchCode,reg_2012,reg_2013,reg_2014,reg_2015,reg_2016,reg_2017,reg_2018,reg_2019,reg_2020,reg_2021,reg_2022,NBHDNo,NBHDName
JD,1752.0,2561.0,1488.0,1202.0,1211.0,1359.0,1672.0,1755.0,572.0,540.0,1404.0,089,Runnymede-Bloor West Village
JO,535.0,633.0,680.0,659.0,793.0,674.0,907.0,896.0,339.0,372.0,748.0,070,South Riverdale
JS,1034.0,1330.0,1099.0,1065.0,1042.0,1121.0,1270.0,1781.0,617.0,564.0,1398.0,025,Glenfield-Jane Heights
KE,1430.0,1539.0,1323.0,1391.0,1337.0,1547.0,1492.0,1568.0,507.0,726.0,1859.0,125,Ionview
LB,652.0,660.0,783.0,663.0,763.0,579.0,908.0,899.0,354.0,387.0,736.0,019,Long Branch
LE,1065.0,1103.0,1147.0,1135.0,1185.0,1274.0,1511.0,1530.0,625.0,851.0,1432.0,056,Leaside-Bennington
LO,1597.0,1547.0,1577.0,1526.0,1503.0,1849.0,2111.0,2157.0,891.0,842.0,1204.0,103,Lawrence Park South
LS,3194.0,3254.0,3243.0,3219.0,3222.0,3198.0,3555.0,3362.0,1285.0,1927.0,3242.0,078,Kensington-Chinatown
MA,866.0,836.0,852.0,894.0,960.0,999.0,1195.0,1202.0,462.0,521.0,1040.0,062,East End-Danforth
MAL,2534.0,2661.0,2728.0,2219.0,2404.0,2516.0,3394.0,3332.0,1042.0,1097.0,2799.0,146,Malvern East
MAS,1806.0,1791.0,1794.0,1790.0,1818.0,1599.0,1873.0,1819.0,670.0,727.0,1424.0,107,Oakwood-Vaughan
MCG,1321.0,1346.0,1351.0,1287.0,1259.0,1368.0,1542.0,1680.0,538.0,608.0,1434.0,126,Dorset Park
MD,3.0,995.0,798.0,728.0,804.0,821.0,912.0,1027.0,358.0,323.0,866.0,115,Mount Dennis
MI,834.0,816.0,834.0,846.0,898.0,954.0,1056.0,1129.0,483.0,527.0,935.0,160,Mimico-Queensway
MP,510.0,591.0,556.0,546.0,656.0,589.0,837.0,776.0,147.0,4.0,7.0,099,Mount Pleasant East
MRV,994.0,1102.0,1149.0,1181.0,1266.0,1158.0,1538.0,1505.0,331.0,449.0,1340.0,119,Wexford-Maryvale
MS,1146.0,1038.0,1152.0,1005.0,1168.0,1059.0,1573.0,1528.0,633.0,663.0,1557.0,136,West Hill
ND,2755.0,2665.0,2553.0,2466.0,3050.0,3384.0,4164.0,4118.0,1539.0,1765.0,3819.0,100,Yonge-Eglinton
NE,446.0,414.0,383.0,354.0,386.0,457.0,512.0,555.0,210.0,175.0,380.0,001,West Humber-Clairville
NT,583.0,568.0,527.0,517.0,624.0,597.0,633.0,788.0,254.0,260.0,698.0,018,New Toronto
OV,600.0,604.0,606.0,509.0,571.0,613.0,734.0,939.0,341.0,431.0,691.0,107,Oakwood-Vaughan
PA,1397.0,1538.0,1674.0,1449.0,1723.0,1645.0,2249.0,2105.0,824.0,746.0,1515.0,069,Blake-Jones
PE,185.0,234.0,282.0,245.0,290.0,376.0,574.0,548.0,113.0,136.0,442.0,171,Junction-Wallace Emerson
PK,1994.0,1883.0,2014.0,1960.0,1909.0,2129.0,2802.0,2068.0,1201.0,1225.0,2718.0,085,South Parkdale
PL,1649.0,1632.0,1561.0,1564.0,1540.0,1680.0,2071.0,1102.0,965.0,1001.0,1873.0,073,Moss Park
PM,754.0,765.0,816.0,813.0,833.0,816.0,1020.0,1176.0,604.0,556.0,879.0,095,Annex
PU,819.0,850.0,842.0,843.0,737.0,849.0,1144.0,1076.0,195.0,245.0,838.0,133,Centennial Scarborough
PV,713.0,1192.0,701.0,482.0,561.0,569.0,666.0,681.0,248.0,245.0,582.0,046,Pleasant View
QS,417.0,424.0,473.0,437.0,498.0,566.0,612.0,722.0,168.0,190.0,620.0,070,South Riverdale
RD,986.0,1014.0,962.0,881.0,976.0,914.0,1322.0,1466.0,517.0,584.0,976.0,068,North Riverdale
