NBHDNo,NBHDName,TSNS 2020 Designation,Median total income of private household in 2020 ($),Median total income of economic family in 2020 ($),Participation rate,Employment rate,Unemployment rate,"No certificate, diploma or degree (%)",High (secondary) school diploma or equivalency certificate (%),"Postsecondary certificate, diploma or degree (%)",No_of_Branches,No_of_Workstations,No_of_Programs,visits_2015,visits_2016,visits_2017,visits_2018,visits_2019,reg_2015,reg_2016,reg_2017,reg_2018,reg_2019,circ_2015,circ_2016,circ_2017,circ_2018,circ_2019,wrkstn_use_2015,wrkstn_use_2016,wrkstn_use_2017,wrkstn_use_2018,wrkstn_use_2019
111,Rockcliffe-Smythe,Neighbourhood Improvement Area,69000,91000,56.8,48.8,14.2,26.76,29.8,43.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Beechborough-Greenbrook,Neighbourhood Improvement Area,62400,82000,59.4,49.2,17.6,26.41,33.11,40.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Weston,Neighbourhood Improvement Area,64500,86000,59.9,49.5,17.4,23.02,30.57,46.42,1,11,2,89225,99950,92943,91230,91230,979,1027,1067,1279,1518,135560,135040,128443,116159,108961,46263,41188,37813,26060,26812
114,Lambton Baby Point,Not an NIA or Emerging Neighbourhood,103000,142000,64.9,56.3,13.2,13.08,21.26,65.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Mount Dennis,Neighbourhood Improvement Area,70500,87000,61.8,50.2,18.7,23.06,30.44,46.54,1,20,4,80588,84210,88386,80819,80819,728,804,821,912,1027,111864,106395,108609,104754,89270,55913,55175,53466,36451,31430
116,Steeles,Emerging Neighbourhood,80000,87000,49.4,40.2,18.6,21.61,28.56,49.83,1,8,0,161988,168942,156659,55838,55838,1052,1004,897,898,1570,267333,256926,238620,114108,198868,34800,34700,31163,14624,36129
118,Tam O'Shanter-Sullivan,Not an NIA or Emerging Neighbourhood,76500,92000,56.4,47.6,15.6,16.8,25.85,57.35,1,42,4,397421,313157,326233,368837,368837,2919,2318,2538,3658,3404,843672,712014,621226,623148,562590,158536,103406,134675,112149,110006
119,Wexford/Maryvale,Not an NIA or Emerging Neighbourhood,82000,99000,61.4,51.5,16.1,16.8,29.62,53.56,1,12,1,167575,203955,157983,137412,137412,1181,1266,1158,1538,1505,224525,207891,187741,162654,148594,32938,34313,33900,34992,32754
120,Clairlea-Birchmount,Not an NIA or Emerging Neighbourhood,90000,103000,62.7,53.4,14.9,16.27,26.73,57.02,2,47,5,479668,417103,487687,591711,591711,2846,2311,2991,4435,4151,629731,487976,461852,508502,422459,183634,168387,174396,138517,109797
121,Oakridge,Neighbourhood Improvement Area,60000,76500,54.6,43.1,21.1,20.48,28.87,50.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Birchcliffe-Cliffside,Not an NIA or Emerging Neighbourhood,90000,123000,62.7,53.3,14.9,13.42,25.78,60.8,1,8,0,41388,40691,35466,34784,34784,421,401,343,497,545,127191,115914,94731,104908,103046,18588,14738,13329,8594,8422
123,Cliffcrest,Not an NIA or Emerging Neighbourhood,92000,114000,59.8,50.7,15.3,14.57,27.94,57.49,1,9,0,79300,69148,65757,65876,65876,659,789,725,963,1074,173302,164321,142382,137460,155449,18638,19413,16188,14475,14182
124,Kennedy Park,Neighbourhood Improvement Area,69000,90000,56.3,45.9,18.4,20.31,28.98,50.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Ionview,Neighbourhood Improvement Area,74500,87000,60.3,50.4,16.4,18.98,29.74,51.32,1,14,3,110675,87203,92895,81014,81014,1391,1337,1547,1492,1568,188001,172424,155073,130416,122499,37925,36150,39175,29139,27027
126,Dorset Park,Emerging Neighbourhood,79000,92000,59.4,50.8,14.5,18.61,28.67,52.74,1,14,0,125177,134570,127230,122591,122591,1287,1259,1368,1542,1680,217638,196526,176865,158704,152135,42142,37741,36807,30641,29609
128,Agincourt South-Malvern West,Not an NIA or Emerging Neighbourhood,79500,88000,58.7,50.3,14.4,18.43,26.18,55.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Agincourt North,Not an NIA or Emerging Neighbourhood,84000,91000,54.4,45.0,17.3,22.62,28.01,49.37,1,22,2,405225,441229,402862,373195,373195,2005,2000,2046,2387,2341,412778,387621,340490,312597,290873,106963,101650,97263,75752,72288
130,Milliken,Not an NIA or Emerging Neighbourhood,81000,83000,51.3,41.5,19.0,26.2,30.27,43.52,1,10,0,179312,178752,175028,164412,164412,777,818,856,942,851,264751,249112,226852,202870,194589,49572,45802,39670,30554,28864
133,Centennial Scarborough,Not an NIA or Emerging Neighbourhood,134000,149000,61.0,53.9,11.6,9.65,25.53,64.81,1,6,0,107850,98121,86237,84874,84874,843,737,849,1144,1076,227324,222051,203226,202041,200031,16450,16613,12475,10086,8556
134,Highland Creek,Not an NIA or Emerging Neighbourhood,120000,129000,59.1,50.2,15.0,11.93,29.79,58.23,1,11,0,69713,63785,60785,57664,57664,702,645,757,1016,1116,179144,165053,155735,145360,135525,21838,19238,19175,16657,15568
135,Morningside,Neighbourhood Improvement Area,85000,96000,60.0,50.5,15.7,14.72,29.21,56.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,West Hill,Neighbourhood Improvement Area,76000,95000,57.4,47.7,16.9,17.15,30.71,52.11,1,10,0,91163,101804,100674,102939,102939,1005,1168,1059,1573,1528,183685,177218,161130,152677,156566,42363,41988,39488,30116,29277
138,Eglinton East,Neighbourhood Improvement Area,73500,85000,58.2,48.3,17.1,19.11,29.59,51.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Scarborough Village,Neighbourhood Improvement Area,71500,85000,56.8,46.7,17.8,18.82,28.62,52.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,Guildwood,Not an NIA or Emerging Neighbourhood,102000,126000,58.0,50.2,13.5,11.32,24.55,64.25,1,6,0,45763,59634,62890,57017,57017,389,357,348,477,342,121419,119074,114626,97265,47291,12600,12000,11088,9772,3327
141,Golfdale-Cedarbrae-Woburn,Neighbourhood Improvement Area (formerly Woburn),77000,88000,57.4,47.8,16.7,20.86,29.16,49.95,1,66,5,352780,363118,384227,355089,355089,3824,3861,3831,4913,4849,522254,485383,430830,394326,374943,243984,249984,197151,133544,124808
142,Woburn North,Neighbourhood Improvement Area (formerly Woburn),74500,88000,60.1,50.5,16.0,16.24,26.36,57.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,West Rouge,Not an NIA or Emerging Neighbourhood,108000,124000,60.4,51.7,14.5,10.84,26.73,62.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Morningside Heights,Not an NIA or Emerging Neighbourhood,117000,120000,63.3,53.9,15.0,19.85,30.78,49.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,Malvern West,Emerging Neighbourhood,88000,92000,61.3,50.6,17.5,18.02,30.17,51.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,Malvern East,Emerging Neighbourhood,85000,97000,59.3,49.7,16.2,17.94,29.96,52.1,2,48,5,461933,440745,416564,376857,376857,2985,3206,3251,4450,4462,582785,530415,475500,436077,414877,198770,192019,179488,100183,96947
147,L'Amoreaux West,Emerging Neighbourhood,72500,92000,54.1,45.6,15.8,17.77,26.33,55.9,1,7,1,380100,423004,429296,434621,434621,1729,1965,2045,2908,2625,449199,420243,385501,419149,346131,41463,40138,43341,51202,47541
148,East L'Amoreaux,Emerging Neighbourhood,85000,89000,55.5,45.5,17.9,19.75,28.22,51.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,Parkwoods-O'Connor Hills,Not an NIA or Emerging Neighbourhood,98000,110000,62.1,52.0,16.3,13.92,23.68,62.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,Fenside-Parkwoods,Not an NIA or Emerging Neighbourhood,78000,89000,64.0,53.9,15.7,13.58,26.76,59.66,1,9,0,75938,71442,73732,73308,73308,753,770,792,1233,1597,179265,166907,161391,156836,151891,19700,19713,16113,16333,16706
151,Yonge-Doris,Not an NIA or Emerging Neighbourhood,73000,86000,63.1,55.0,12.8,5.78,16.9,77.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,East Willowdale,Not an NIA or Emerging Neighbourhood,95000,113000,56.6,48.9,13.5,8.58,20.75,70.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,Avondale,Not an NIA or Emerging Neighbourhood,84000,104000,71.2,63.0,11.4,4.08,14.58,81.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,Oakdale-Beverley Heights,Neighbourhood Improvement Area (formerly Downsview-Roding-CFB),71500,87000,61.2,50.8,16.9,27.01,32.51,40.45,1,7,0,89425,107969,102627,98278,98278,1109,1082,1210,1688,2389,109587,103621,97368,86179,79871,24413,21763,19913,24989,25777
155,Downsview,Neighbourhood Improvement Area (formerly Downsview-Roding-CFB),82000,99000,64.6,55.2,14.5,20.7,26.12,53.18,1,32,6,174447,206115,230231,231580,231580,1669,1549,1927,2468,1796,224968,210675,201514,185960,122726,109770,113701,99707,72517,43740
156,Bendale-Glen Andrew,Not an NIA or Emerging Neighbourhood,74500,92000,58.0,49.4,15.0,15.43,27.12,57.42,1,18,3,83038,175181,193914,191703,191703,2242,2173,2449,2686,2836,149189,179190,179314,172722,172072,27325,52375,63474,45256,43849
157,Bendale South,Not an NIA or Emerging Neighbourhood,90000,97000,58.9,49.9,15.4,17.78,29.69,52.58,1,9,0,65550,57910,50632,51489,51489,707,686,709,1055,909,147119,141482,123592,122497,114383,21100,18088,18675,14323,13281
158,Islington,Not an NIA or Emerging Neighbourhood,102000,125000,62.9,54.7,13.0,11.18,23.26,65.51,1,13,1,226512,239521,238477,232419,232419,2693,2849,2754,3085,3621,517719,508926,501624,463951,441050,46633,45770,43683,41801,38638
159,Etobicoke City Centre,Not an NIA or Emerging Neighbourhood,83000,106000,73.5,65.4,11.1,8.77,19.01,72.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Mimico-Queensway,Not an NIA or Emerging Neighbourhood,84000,125000,68.9,60.9,11.6,13.38,21.19,65.46,1,9,0,94488,99232,92721,91352,91352,846,898,954,1056,1129,185421,187470,178966,172926,167353,21475,23175,24663,15725,12713
161,Humber Bay Shores,Not an NIA or Emerging Neighbourhood,85000,111000,73.9,64.8,12.4,6.41,17.56,76.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,West Queen West,Not an NIA or Emerging Neighbourhood,101000,136000,81.9,75.7,7.5,5.85,14.82,79.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Fort York-Liberty Village,Not an NIA or Emerging Neighbourhood,94000,128000,86.7,79.3,8.6,2.67,11.73,85.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Wellington Place,Not an NIA or Emerging Neighbourhood,90000,138000,87.3,80.5,7.8,1.7,10.47,87.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,Harbourfront-CityPlace,Not an NIA or Emerging Neighbourhood,90000,118000,84.0,75.4,10.3,3.2,11.59,85.23,1,16,2,180200,179705,169371,190668,190668,3732,3485,3661,4097,4769,219431,222008,221413,227453,230898,49513,48088,47162,37264,38890
166,St Lawrence-East Bayfront-The Islands,Not an NIA or Emerging Neighbourhood,87000,124000,75.7,67.5,10.8,4.21,13.67,82.11,1,7,0,103806,115189,118778,117556,117556,1278,1415,1769,2140,2550,192194,221478,215415,216375,220519,22051,23779,23888,24264,27347
167,Church-Wellesley,Not an NIA or Emerging Neighbourhood,60400,96000,73.4,61.9,15.6,3.87,18.0,78.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,Downtown Yonge East,Not an NIA or Emerging Neighbourhood,69500,112000,73.0,63.1,13.6,4.3,15.5,80.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,Bay-Cloverhill,Not an NIA or Emerging Neighbourhood,58400,100000,65.4,55.6,15.0,1.88,20.34,77.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,Yonge-Bay Corridor,Not an NIA or Emerging Neighbourhood,68500,100000,73.8,64.0,13.3,2.7,15.29,82.06,1,9,0,197250,198786,195475,197005,197005,1934,2655,2504,3182,3798,342516,337178,299464,273173,270410,29788,30938,33700,50205,47505
171,Junction-Wallace Emerson,Not an NIA or Emerging Neighbourhood,84000,112000,69.8,60.0,14.0,19.8,21.26,58.94,1,3,0,34938,46514,53451,55219,55219,245,290,376,574,548,91381,94035,92619,94768,97542,8113,7863,8425,5775,5480
172,Dovercourt Village,Not an NIA or Emerging Neighbourhood,87000,111000,67.7,58.4,13.8,18.75,20.74,60.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,North Toronto,Not an NIA or Emerging Neighbourhood,70000,96000,74.6,65.0,13.0,5.46,14.62,79.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,South Eglinton-Davisville,Not an NIA or Emerging Neighbourhood,80000,109000,73.4,65.6,10.6,4.38,14.16,81.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
