BranchCode,PhysicalBranch,BranchName,SquareFootage,PublicParking,KidsStop,LeadingReading,ComputerLearningCentre,DigitalInnovationHub,TeenCouncil,YouthHub,AdultLiteracyProgram,Workstations,ServiceTier,Latitude,Longitude,NBHDNo,NBHDName,TPLNIA,PresentSiteYear,No_of_Programs
AB,1,Albion,29000,59,1,1,1,1,1,1,1,38,DL,43.739826,-79.584096,002,Mount Olive-Silverstone-Jamestown,1,2017,7
ACD,1,Albert Campbell,28957,45,0,1,1,1,1,1,0,36,DL,43.708019,-79.269252,120,Clairlea-Birchmount,1,1971,5
AD,1,Alderwood,7341,shared,0,0,0,0,0,0,0,7,NL,43.601944,-79.547252,020,Alderwood,0,1999,0
AG,1,Agincourt,27000,86,0,1,1,1,0,1,0,42,DL,43.785167,-79.29343,118,Tam O'Shanter-Sullivan,0,1991,4
AH,1,Armour Heights,2988,shared,0,0,0,0,0,0,0,5,NL,43.739337,-79.421889,039,Bedford Park-Nortown,0,1982,0
AN,1,Annette Street,7806,0,0,0,0,0,0,0,0,11,NL,43.663359,-79.466348,090,Junction Area,0,1908,0
AP,1,Amesbury Park,6320,22,0,0,0,0,0,0,0,6,NL,43.706456,-79.485726,030,Brookhaven-Amesbury,1,1967,0
BB,1,Brookbanks,7933,20,0,0,0,0,0,0,0,9,NL,43.759507,-79.325904,150,Fenside-Parkwoods,0,1968,0
BC,1,Black Creek,5782,shared,0,0,0,0,0,0,0,7,NL,43.721219,-79.510467,154,Oakdale-Beverley Heights,1,2002,0
BD,1,Bendale,8500,30,0,0,0,0,0,0,0,9,NL,43.751063,-79.244052,157,Bendale South,1,1961,0
BE,1,Beaches,8000,0,0,0,0,0,0,0,0,12,NL,43.67013,-79.298526,063,The Beaches,0,1914,0
BF,1,Barbara Frum,29417,6,0,1,1,0,1,1,1,30,DL,43.720752,-79.432215,032,Englemount-Lawrence,0,1992,5
BL,1,Bloor/Gladstone,20627,0,1,0,1,0,0,0,0,36,DL,43.659878,-79.434022,083,Dufferin Grove,0,1913,2
BR,1,Brentwood,17500,0,1,0,1,0,1,0,0,33,DL,43.647448,-79.514259,015,Kingsway South,0,1955,3
