NBHDName,NBHDNo,POPULATION_2023,ASSAULT_RATE_2015,ASSAULT_RATE_2016,ASSAULT_RATE_2017,ASSAULT_RATE_2018,ASSAULT_RATE_2019,AUTOTHEFT_RATE_2015,AUTOTHEFT_RATE_2016,AUTOTHEFT_RATE_2017,AUTOTHEFT_RATE_2018,AUTOTHEFT_RATE_2019,BIKETHEFT_RATE_2015,BIKETHEFT_RATE_2016,BIKETHEFT_RATE_2017,BIKETHEFT_RATE_2018,BIKETHEFT_RATE_2019,BREAKENTER_RATE_2015,BREAKENTER_RATE_2016,BREAKENTER_RATE_2017,BREAKENTER_RATE_2018,BREAKENTER_RATE_2019,HOMICIDE_RATE_2015,HOMICIDE_RATE_2016,HOMICIDE_RATE_2017,HOMICIDE_RATE_2018,HOMICIDE_RATE_2019,ROBBERY_RATE_2015,ROBBERY_RATE_2016,ROBBERY_RATE_2017,ROBBERY_RATE_2018,ROBBERY_RATE_2019,SHOOTING_RATE_2015,SHOOTING_RATE_2016,SHOOTING_RATE_2017,SHOOTING_RATE_2018,SHOOTING_RATE_2019,THEFTFROMMV_RATE_2015,THEFTFROMMV_RATE_2016,THEFTFROMMV_RATE_2017,THEFTFROMMV_RATE_2018,THEFTFROMMV_RATE_2019,THEFTOVER_RATE_2015,THEFTOVER_RATE_2016,THEFTOVER_RATE_2017,THEFTOVER_RATE_2018,THEFTOVER_RATE_2019
Eglinton East,138,24231,775.0925293,894.7276611,880.0690308,786.3640137,828.392395,91.44350433,96.01955414,125.1078491,46.75677872,113.5360184,13.06335735,8.729050636,21.57032013,4.25061655,21.02518845,330.938385,283.6941223,241.5875702,191.2777405,243.8921814,0.0,0.0,4.314064026,4.25061655,8.410075188,200.3048096,187.6745758,159.6203613,148.7715759,121.9460907,8.70890522,13.09357548,47.45470047,8.501233101,25.23022652,209.0137177,183.3100586,228.6453857,284.7912903,264.9173584,13.06335735,26.18715096,4.314064026,25.50369835,33.64030075
West Hill,136,29259,1429.346802,1520.611084,1429.488037,1482.574463,1525.629883,65.13479614,54.05015945,110.5090561,94.85665894,159.8609924,57.89759445,90.08359528,46.34250641,24.59246826,41.7028656,238.8275757,259.4407654,310.1383057,361.8605957,267.5933838,7.237199306,0.0,0.0,3.513209581,6.950478077,231.5903778,277.457489,231.7125397,175.6604767,250.2172089,3.618599653,21.62006378,10.69442463,17.56604767,31.27715111,242.446167,230.6140137,392.1289063,270.5171509,198.088623,21.71159744,28.82675171,35.64808273,17.56604767,13.90095615
Morningside,135,18463,783.6725464,921.7893066,890.3074341,746.062439,968.5362549,95.844841,79.17208862,67.19300842,66.31666565,43.77565002,16.91379547,16.96544647,0.0,5.526388645,5.471956253,112.7586365,107.4478302,89.59068298,105.0013809,93.02325439,5.637931824,0.0,0.0,5.526388645,5.471956253,129.6724396,56.55149078,106.3889389,71.8430481,98.49520874,0.0,5.655148983,5.599417686,5.526388645,16.41586876,191.689682,113.1029816,201.5790405,187.8972168,186.0465088,5.637931824,0.0,11.19883537,11.05277729,21.88782501
Highland Creek,134,13871,392.9727173,553.3042603,522.6748657,376.7897644,468.3666687,84.75881958,62.3441391,107.6095276,150.7158966,200.7285767,84.75881958,116.8952637,15.37279034,0.0,22.30317497,277.3925171,272.7556152,222.9054565,226.0738525,245.3349152,7.705347538,0.0,0.0,0.0,7.434391499,238.8657684,85.72319031,130.6687164,37.67897415,104.0814819,15.41069508,0.0,7.686395168,15.07159042,0.0,208.0443878,249.3765564,399.6925354,158.2516937,327.1132202,38.52673721,7.793017387,7.686395168,22.60738564,7.434391499
Centennial Scarborough,133,14609,277.8387146,350.1604919,331.1496582,311.0419922,342.2982788,51.18081284,36.47505188,64.7901535,70.69136047,153.6849518,14.62308979,43.77006149,28.79562378,42.41481781,20.95703888,109.673172,131.3101807,165.5748291,113.1061783,202.5847015,0.0,0.0,7.198905945,7.069136143,0.0,21.93463516,80.24510956,86.38687134,42.41481781,6.98567915,0.0,14.59002018,0.0,14.13827229,0.0,95.05008698,342.8654785,316.7518616,205.0049438,230.52742,7.311544895,7.29501009,28.79562378,14.13827229,20.95703888
Milliken,130,28371,318.2003174,327.6491089,283.3903809,264.7613525,344.0366821,159.1001587,130.3149872,220.8236694,330.0449829,304.6158142,7.400007248,0.0,11.04118347,14.50747108,10.75114632,432.9004211,249.4601288,415.8845825,435.2241516,473.0504456,0.0,0.0,0.0,0.0,3.583715677,136.9001312,148.9314117,106.7314453,61.65675354,125.4300461,7.400007248,3.723285437,0.0,7.253735542,3.583715677,240.5002441,160.1012726,276.0296021,275.6419678,304.6158142,51.80005264,33.50956726,69.92749786,65.28362274,78.84174347
Agincourt North,129,31260,257.2755432,276.6251831,250.2168579,262.7861938,263.0211792,96.89598846,60.72259903,110.0954132,137.9627533,136.3813477,23.38868713,6.746955395,0.0,3.284827471,3.247174978,180.4270172,165.300415,163.4750061,226.6530914,181.8417969,0.0,0.0,0.0,0.0,0.0,123.6259155,50.60216522,73.39694214,144.5324097,120.1454697,0.0,3.373477697,3.336224794,0.0,6.494349957,157.0383301,161.9269257,320.2775879,226.6530914,224.055069,20.0474453,16.86738777,36.69847107,13.13930988,9.741524696
Agincourt South-Malvern West,128,28097,430.8361511,536.835144,446.769989,461.5324402,462.1142578,121.3033829,111.4965286,140.8734131,148.6290894,221.5093231,20.91437721,12.38850307,28.17468262,23.46775055,11.45737839,250.9725189,251.8995667,370.2958374,363.7501526,381.9126282,0.0,0.0,0.0,3.911291838,0.0,100.3890076,86.71952057,136.848465,129.0726318,106.9355316,0.0,8.259002686,16.09981918,19.55645943,11.45737839,296.9841614,256.0290833,338.0961914,281.6130066,221.5093231,37.64587784,49.5540123,56.34936523,39.11291885,57.28689194
Dorset Park,126,26286,667.2793579,780.3479614,767.8676758,781.432251,635.2995605,167.8187561,175.1801605,161.4490967,318.7932434,234.8683167,15.98273849,11.94410133,15.75113201,7.775444984,3.850300312,335.6375122,282.677063,346.5249023,256.5896912,219.4671173,0.0,0.0,3.937783003,0.0,7.700600624,147.840332,230.9192963,137.822403,136.0702972,146.3114166,15.98273849,39.81367111,27.56448174,31.10177994,26.95210266,403.5641479,266.7516174,232.3291931,244.9265289,300.3234253,39.95684814,47.77640533,15.75113201,58.31583786,30.8024025
Ionview,125,14121,737.6110229,740.1608276,601.5569458,624.9561157,558.8543701,85.93526459,42.70158768,35.38570404,21.06593704,55.8854332,21.48381615,0.0,14.15428162,21.06593704,27.9427166,322.2572327,120.9878311,205.2370911,133.4176025,132.7279053,0.0,0.0,0.0,0.0,0.0,107.419075,64.05238342,92.00283051,49.15385056,83.82815552,0.0,0.0,0.0,7.021978855,6.98567915,207.6768799,106.7539673,155.6970978,147.4615479,209.5703735,28.6450882,28.46772385,7.077140808,7.021978855,13.9713583
Kennedy Park,124,18173,1429.706177,1215.218628,1109.734131,1231.678101,1227.604492,68.08124542,73.82169342,168.9950409,167.1961212,132.7140045,34.04062271,28.39295769,56.3316803,66.87844849,16.58925056,204.2437286,261.21521,281.6584167,267.5137939,226.7197571,0.0,0.0,0.0,11.14640808,5.52974987,380.1202698,164.6791534,304.1910706,172.7693176,160.3627472,0.0,11.35718346,16.89950371,16.71961212,11.05949974,283.6718445,193.072113,416.8544312,328.8190308,387.082489,17.02031136,28.39295769,22.53267288,111.4640808,33.17850113
Cliffcrest,123,17922,610.5834351,677.7990112,720.4698486,818.0201416,793.0029297,80.17762756,67.7798996,108.9786301,136.3366852,110.7871704,12.33501911,43.13266373,54.48931503,5.9276824,23.32361603,357.7155457,363.5467224,217.9572601,314.1671753,268.2215881,6.167509556,0.0,0.0,5.9276824,5.830904007,135.6852112,154.0452271,205.848526,88.91523743,169.0962067,12.33501911,0.0,0.0,11.8553648,5.830904007,345.3805237,388.1939697,429.8601379,385.2993469,623.9066772,30.8375473,18.48542786,42.38057709,17.78304672,17.49271202
Birchcliffe-Cliffside,122,23417,597.1623535,887.414856,714.6661987,871.2021484,904.7619019,76.32902527,67.22839355,57.70596695,105.0696106,112.5541153,80.8189621,98.60164642,75.46164703,35.02320099,21.64502144,363.6853333,340.6238708,368.4303894,306.4530334,246.7532501,4.489942551,0.0,4.438920498,4.377900124,0.0,116.7385025,112.0473251,66.5838089,96.31380463,138.5281372,0.0,0.0,0.0,0.0,8.658008575,484.9137878,416.8160706,257.4573975,429.0342407,402.5974121,22.44971275,26.89135933,22.19460297,35.02320099,30.30303001
Downtown Yonge East,168,18023,3026.846191,2722.696777,3436.053223,3452.536133,4050.698975,144.4976807,129.6522217,101.2731476,329.4666748,280.9355774,981.0631714,892.3123779,1164.641235,1290.411133,1123.74231,623.621582,648.2611084,810.1851807,844.2583618,1182.542847,15.21028233,7.626601696,0.0,13.72777843,0.0,768.1192627,762.6601563,882.5231323,981.5361328,751.3393555,30.42056465,22.87980461,0.0,13.72777843,32.66692734,1201.612305,1090.604004,1642.071777,1249.227783,1659.47998,83.65655518,228.7980499,144.6759186,137.2777863,130.6677094
Church-Wellesley,167,22938,1136.489014,1585.940796,1592.307251,1803.956787,1687.641602,55.16936874,42.86326599,87.88709259,129.5659485,81.97116852,579.2783813,519.7171021,666.9078979,458.4641418,578.6199951,402.7363892,332.1903076,449.775116,393.6811829,617.1946411,11.03387356,16.07372475,5.169828892,4.983305931,4.821833134,209.6436005,273.2533264,227.4724731,269.0985107,231.447998,5.516936779,5.357908249,0.0,0.0,4.821833134,375.1517029,358.9798584,279.1707458,264.1152039,443.6086731,27.58468437,64.29489899,51.69828796,104.6494217,101.2584991
