BranchCode,circ_2012,circ_2013,circ_2014,circ_2015,circ_2016,circ_2017,circ_2018,circ_2019,circ_2020,circ_2021,circ_2022,NBHDNo,NBHDName
HP,308987.0,347145.0,334554.0,327969.0,332131.0,317578.0,302244.0,338769.0,159632.0,200351.0,200102.0,087,High Park-Swansea
HS,97199.0,89453.0,78459.0,73816.0,69845.0,36120.0,53901.0,51847.0,22677.0,24270.0,33951.0,021,Humber Summit
HW,106825.0,101325.0,90607.0,82685.0,71346.0,62989.0,55565.0,50965.0,14847.0,17228.0,29362.0,001,West Humber-Clairville
JD,300276.0,290200.0,285210.0,274077.0,278761.0,295469.0,269642.0,267037.0,136480.0,190050.0,200464.0,089,Runnymede-Bloor West Village
JO,181779.0,185842.0,178808.0,177360.0,181351.0,167736.0,160471.0,154766.0,85172.0,115065.0,108010.0,070,South Riverdale
JS,141266.0,140002.0,128740.0,120388.0,104672.0,85026.0,81754.0,93852.0,46122.0,52713.0,70105.0,025,Glenfield-Jane Heights
KE,223015.0,214023.0,194291.0,188001.0,172424.0,155073.0,130416.0,122499.0,60245.0,81130.0,110971.0,125,Ionview
LB,142115.0,135757.0,138562.0,142842.0,143304.0,128538.0,130359.0,128543.0,79922.0,111236.0,90655.0,019,Long Branch
LE,363636.0,364969.0,362819.0,365509.0,366723.0,348572.0,344926.0,330924.0,192613.0,275747.0,282606.0,056,Leaside-Bennington
LO,351907.0,356462.0,347441.0,336679.0,339256.0,352148.0,349360.0,335761.0,177203.0,240346.0,162948.0,103,Lawrence Park South
LS,499815.0,495308.0,431178.0,392895.0,387051.0,352547.0,322224.0,273328.0,148317.0,198145.0,237732.0,078,Kensington-Chinatown
MA,278109.0,254725.0,252997.0,256372.0,263340.0,248530.0,242978.0,252545.0,136340.0,190319.0,225908.0,062,East End-Danforth
MAL,534394.0,507636.0,442761.0,404133.0,374677.0,334069.0,312335.0,291620.0,124229.0,154004.0,210714.0,146,Malvern East
MAS,284876.0,249361.0,232861.0,248394.0,230554.0,211188.0,201845.0,178398.0,75572.0,98129.0,138093.0,107,Oakwood-Vaughan
MCG,269715.0,256023.0,234554.0,217638.0,196526.0,176865.0,158704.0,152135.0,77049.0,99043.0,101179.0,126,Dorset Park
MD,9180.0,105129.0,114802.0,111864.0,106395.0,108609.0,104754.0,89270.0,39678.0,49966.0,73517.0,115,Mount Dennis
MI,216921.0,188067.0,169427.0,185421.0,187470.0,178966.0,172926.0,167353.0,96529.0,133806.0,161819.0,160,Mimico-Queensway
MP,163678.0,159474.0,152317.0,152476.0,161406.0,155354.0,153772.0,155612.0,39179.0,11242.0,10191.0,099,Mount Pleasant East
MRV,266502.0,258596.0,239917.0,224525.0,207891.0,187741.0,162654.0,148594.0,36625.0,38201.0,55037.0,119,Wexford-Maryvale
