_id,BranchCode,PhysicalBranch,BranchName,SquareFootage,PublicParking,KidsStop,LeadingReading,ComputerLearningCentre,DigitalInnovationHub,TeenCouncil,YouthHub,AdultLiteracyProgram,Workstations,ServiceTier,Lat,Long,NBHDNo,NBHDName,TPLNIA,PresentSiteYear
75,NT,1,New Toronto,9925,10,0,0,0,0,0,0,0,8,NL,43.599085,-79.509741,18,New Toronto  ,0,1994
77,OV,1,Oakwood Village Library and Arts Centre,17270,0,0,0,0,0,0,0,0,11,NL,43.686544,-79.438111,107,Oakwood-Vaughan ,0,1997
78,PA,1,Pape/Danforth,8175,0,0,0,0,0,0,0,0,14,DL,43.678559,-79.34457,69,Blake-Jones ,0,1929
79,PE,1,Perth/Dupont,3627,0,0,0,0,0,0,0,0,3,NL,43.665033,-79.45383,171,Junction-Wallace Emerson,0,1983
80,PK,1,Parkdale,24083,0,0,1,0,0,0,1,0,24,NL,43.641174,-79.432659,85,South Parkdale,1,1964
81,PL,1,Parliament Street,14634,0,0,1,0,0,0,1,0,12,NL,43.661804,-79.3678,73,Moss Park,1,1969
82,PM,1,Palmerston,8493,0,0,0,0,0,0,0,0,7,NL,43.665093,-79.414052,95,Annex,0,1971
84,PU,1,Port Union,5000,shared,0,0,0,0,0,0,0,6,NL,43.779478,-79.140289,133,Centennial Scarborough ,0,1984
85,PV,1,Pleasant View,7000,26,0,0,0,0,0,0,0,8,NL,43.787559,-79.33543,46,Pleasant View,0,1975
86,QS,1,Queen/Saulter,2957,0,0,0,0,0,0,0,0,6,NL,43.659144,-79.347593,70,South Riverdale,0,1980
87,RD,1,Riverdale,9658,0,0,0,0,0,0,0,0,18,NL,43.665759,-79.353163,68,North Riverdale ,0,1928
88,RI,1,Richview,47252,139,1,1,1,1,0,1,0,44,DL,43.683404,-79.541119,7,Willowridge-Martingrove-Richview,1,1966
89,RN,1,Runnymede,12034,0,0,0,0,0,0,0,0,15,NL,43.651856,-79.473844,88,High Park North,0,1930
90,RX,1,Rexdale,5088,12,0,0,0,0,0,0,0,6,NL,43.72613,-79.573207,4,Rexdale-Kipling,1,1959
91,SA,1,Sanderson,12702,0,0,1,0,0,0,1,0,14,NL,43.652085,-79.405519,78,Kensington-Chinatown ,0,1979
93,SC,1,Scarborough Civic Centre,14500,0,1,1,0,1,0,0,0,18,NL,43.772096,-79.256764,156,Bendale -Glen Andrew,1,2015
94,SI,1,St. Clair/Silverthorn,4850,0,0,0,0,0,0,0,0,5,NL,43.674263,-79.460585,91,Weston-Pellam Park,1,1981
95,SJ,1,St. James Town,7800,0,0,1,0,0,0,0,0,19,NL,43.667263,-79.374467,74,North St. James Town ,0,2004
96,SL,1,St. Lawrence,4833,0,0,0,0,0,0,0,0,7,NL,43.649981,-79.368496,166,St Lawrence-East Bayfront-The Islands,0,1982
97,SP,1,Spadina Road,3952,0,0,0,0,0,0,0,0,5,NL,43.667159,-79.404378,95,Annex,0,1977
98,ST,1,Steeles,5453,shared,0,0,0,0,0,0,0,8,NL,43.815381,-79.322304,116,Steeles ,0,1987
99,SW,1,Swansea Memorial,1127,shared,0,0,0,0,0,0,0,3,NL,43.64793,-79.478022,87,High Park-Swansea,0,1959
100,SWS,1,S. Walter Stewart,25847,19,1,0,1,0,0,1,1,39,DL,43.692115,-79.329696,59,Danforth Village - East York,0,1960
101,TA,1,Taylor Memorial,5000,4,0,0,0,0,0,0,0,8,NL,43.687781,-79.271252,122,Birchcliffe-Cliffside,0,1962
102,TH,1,Thorncliffe,11034,shared,1,1,0,0,0,1,0,19,NL,43.702907,-79.342644,55,Thorncliffe Park ,1,1970
103,TOD,1,Todmorden Room,554,shared,0,0,0,0,0,0,0,2,NL,43.691626,-79.349326,58,Old East York ,0,1961
104,TRL,1,Toronto Reference Library,426535,0,0,0,1,1,1,0,0,213,RR,43.671737,-79.386763,98,Rosedale-Moore Park ,0,1977
106,VV,1,Victoria Village,5383,29,0,0,0,0,0,0,0,6,NL,43.736011,-79.312911,43,Victoria Village ,1,1967
107,WE,1,Weston,11944,9,0,1,0,0,0,1,0,11,NL,43.701796,-79.520585,113,Weston ,1,1914
108,WP,1,Woodview Park,4110,shared,0,0,0,0,1,0,0,9,NL,43.739722,-79.538941,22,Humbermede ,1,1964
109,WS,1,Woodside Square,9944,shared,0,1,0,0,1,0,0,22,NL,43.809463,-79.269548,129,Agincourt North,0,1977
110,WY,1,Wychwood,15798,0,0,0,0,0,0,0,0,11,NL,43.682181,-79.417548,96,Casa Loma ,0,1916
111,YO,1,Yorkville,9053,0,0,0,0,0,0,0,0,7,NL,43.671826,-79.388644,95,Annex ,0,1907
112,YW,1,York Woods,42176,89,0,0,1,0,0,1,1,46,DL,43.758893,-79.507267,25,Glenfield-Jane Heights ,1,1970
