NBHDNo,NBHDName,Year,No_of_Visits,No_of_Registrations,Count_of_Circulation,No_of_Sessions
047,Don Valley Village,2015,426072.0,5792,805825,232297
047,Don Valley Village,2016,518674.0,5805,751914,224402
047,Don Valley Village,2017,566666.0,6056,728426,215656
047,Don Valley Village,2018,546827.0,8251,683924,130320
047,Don Valley Village,2019,514987.0,7751,638738,132363
048,Hillcrest Village,2015,108500.0,763,340458,31550
048,Hillcrest Village,2016,119386.0,777,316962,29013
048,Hillcrest Village,2017,116053.0,938,309418,27575
048,Hillcrest Village,2018,116494.0,1057,298415,16987
048,Hillcrest Village,2019,110800.0,980,281722,15515
052,Bayview Village,2015,171555.0,1854,374989,19505
052,Bayview Village,2016,175117.0,1924,413869,23800
052,Bayview Village,2017,226109.0,2628,455110,29604
052,Bayview Village,2018,202545.0,2812,429168,26289
052,Bayview Village,2019,171685.0,2582,397779,20341
054,O`Connor Parkview,2015,114925.0,1305,205651,43475
054,O`Connor Parkview,2016,100748.0,1269,197789,46688
054,O`Connor Parkview,2017,96392.0,1334,186973,45450
054,O`Connor Parkview,2018,89637.0,1381,162061,30300
054,O`Connor Parkview,2019,88804.0,1282,151755,29528
055,Thorncliffe Park,2015,189550.0,1507,192845,79150
055,Thorncliffe Park,2016,215864.0,1627,178515,76875
055,Thorncliffe Park,2017,197227.0,1599,168175,71175
055,Thorncliffe Park,2018,194581.0,1753,152062,50333
055,Thorncliffe Park,2019,183994.0,1948,138280,42950
056,Leaside-Bennington,2015,147050.0,1135,365509,25913
056,Leaside-Bennington,2016,157136.0,1185,366723,24488
056,Leaside-Bennington,2017,157550.0,1274,348572,25313
056,Leaside-Bennington,2018,162265.0,1511,344926,20752
056,Leaside-Bennington,2019,157656.0,1530,330924,21315
058,Old East York,2015,28400.0,170,59787,5438
058,Old East York,2016,25246.0,190,53254,4263
058,Old East York,2017,28939.0,209,51952,4375
058,Old East York,2018,28888.0,204,47739,3450
058,Old East York,2019,34029.0,244,55877,3749
059,Danforth-East York,2015,244873.0,1239,415562,138960
059,Danforth-East York,2016,251375.0,1269,406483,114635
059,Danforth-East York,2017,262097.0,1339,407819,119109
059,Danforth-East York,2018,259975.0,1760,399144,64722
059,Danforth-East York,2019,247041.0,1955,389780,58495
062,East End Danforth,2015,116263.0,894,256372,35975
062,East End Danforth,2016,113091.0,960,263340,35813
062,East End Danforth,2017,120433.0,999,248530,32700
062,East End Danforth,2018,122506.0,1195,242978,26001
062,East End Danforth,2019,118568.0,1202,252545,23379
063,The Beaches,2015,185450.0,1546,356357,48525
063,The Beaches,2016,187288.0,1634,332412,45825
063,The Beaches,2017,213974.0,1533,314024,40875
063,The Beaches,2018,207052.0,1810,289818,31292
063,The Beaches,2019,198067.0,1887,287323,26353
064,Woodbine Corridor,2015,158113.0,1080,296571,37125
064,Woodbine Corridor,2016,173523.0,1078,302772,37150
064,Woodbine Corridor,2017,175012.0,1174,277410,36600
064,Woodbine Corridor,2018,169976.0,1314,269855,40326
064,Woodbine Corridor,2019,166953.0,1555,273555,36170
065,Greenwood-Coxwell,2015,94525.0,511,183970,25863
065,Greenwood-Coxwell,2016,98279.0,634,187874,23825
065,Greenwood-Coxwell,2017,104259.0,735,177571,24038
065,Greenwood-Coxwell,2018,99576.0,774,171810,16717
065,Greenwood-Coxwell,2019,100212.0,832,167483,16283
