NBHDNo,NBHDName,BranchCode,BranchName,Year,Visits,Registrations,Circulation,Sessions
078,Kensington-Chinatown,SA,Sanderson,2012,352949.0,1419,311553,67645.0
091,Weston-Pellam Park,SI,St. Clair/Silverthorn,2012,41997.0,306,65465,15156.0
074,North St. James Town,SJ,St. James Town,2012,198384.0,1828,301031,64006.0
166,St Lawrence-East Bayfront-The Islands,SL,St. Lawrence,2012,99144.0,915,200598,23702.0
095,Annex,SP,Spadina Road,2012,92352.0,754,196119,11709.0
116,Steeles,ST,Steeles,2012,210047.0,902,338021,37604.0
087,High Park-Swansea,SW,Swansea Memorial,2012,20256.0,88,45368,2759.0
059,Danforth Village - East York,SWS,S. Walter Stewart,2012,254166.0,1360,459564,129468.0
122,Birchcliffe-Cliffside,TA,Taylor Memorial,2012,40929.0,443,130971,13881.0
055,Thorncliffe Park,TH,Thorncliffe,2012,205064.0,1555,231899,80657.0
058,Old East York,TOD,Todmorden Room,2012,21401.0,157,55391,2820.0
098,Rosedale-Moore Park,TRL,Toronto Reference Library,2012,1137016.0,8682,355367,727822.0
043,Victoria Village,VV,Victoria Village,2012,65984.0,427,117945,14772.0
113,Weston,WE,Weston,2012,84777.0,1092,185500,40117.0
022,Humbermede,WP,Woodview Park,2012,35561.0,515,90311,19629.0
129,Agincourt North,WS,Woodside Square,2012,488396.0,2013,542341,105207.0
096,Casa Loma,WY,Wychwood,2012,107079.0,845,243739,44020.0
095,Annex,YO,Yorkville,2012,208985.0,1042,327149,32464.0
025,Glenfield-Jane Heights,YW,York Woods,2012,212775.0,3008,338157,172783.0
002,Mount Olive-Silverstone-Jamestown,AB,Albion,2013,432525.0,4483,466776,139402.0
120,Clairlea-Birchmount,ACD,Albert Campbell,2013,222012.0,1770,420341,133591.0
020,Alderwood,AD,Alderwood,2013,96088.0,504,178588,16238.0
118,Tam O'Shanter-Sullivan,AG,Agincourt,2013,451500.0,3586,1053430,180672.0
039,Bedford Park-Nortown,AH,Armour Heights,2013,68925.0,501,207404,11250.0
090,Junction Area,AN,Annette Street,2013,79655.0,814,212282,30396.0
030,Brookhaven-Amesbury,AP,Amesbury Park,2013,53300.0,911,151191,17788.0
150,Fenside-Parkwoods,BB,Brookbanks,2013,60825.0,807,203292,22950.0
154,Oakdale-Beverley Heights,BC,Black Creek,2013,82713.0,1063,110368,21560.0
157,Bendale South,BD,Bendale,2013,72446.0,823,184484,22293.0
063,The Beaches,BE,Beaches,2013,215213.0,1481,348964,46488.0
032,Englemount-Lawrence,BF,Barbara Frum,2013,364175.0,1848,613282,112745.0
083,Dufferin Grove,BL,Bloor/Gladstone,2013,367025.0,2698,477286,171160.0
015,Kingsway South,BR,Brentwood,2013,247650.0,2280,420090,84403.0
147,L'Amoreaux West,BRW,Bridlewood,2013,399650.0,2099,522544,43375.0
146,Malvern East,BUR,Burrows Hall,2013,144500.0,967,207751,27563.0
123,Cliffcrest,CC,Cliffcrest,2013,80800.0,789,193420,17750.0
035,Westminster-Branson,CE,Centennial,2013,138425.0,1836,349505,29350.0
141,Golfdale-Cedarbrae-Woburn,CED,Cedarbrae,2013,405263.0,4395,659795,260191.0
170,Yonge-Bay Corridor,CH,City Hall,2013,219213.0,1992,381890,31225.0
037,Willowdale West,CL,North York Central Library,2013,1690775.0,11924,1735943,545403.0
080,Palmerston-Little Italy,CS,College/Shaw,2013,112175.0,950,214116,21563.0
064,Woodbine Corridor,DA,Danforth/Coxwell,2013,158188.0,1110,319308,39138.0
042,Banbury-Don Mills,DM,Don Mills,2013,239838.0,1898,630135,81804.0
155,Downsview,DO,Downsview,2013,153000.0,1920,265652,120176.0
098,Rosedale-Moore Park,DP,Deer Park,2013,225188.0,1844,407306,52063.0
054,O'Connor-Parkview,DR,Dawes Road,2013,123463.0,1326,235319,49088.0
094,Wychwood,DT,Davenport,2013,39263.0,240,120435,7000.0
092,Corso Italia-Davenport,DU,Dufferin/St. Clair,2013,121688.0,954,151379,63350.0
158,Islington,EA,Eatonville,2013,214193.0,2285,481519,43594.0
011,Eringate-Centennial-West Deane,EB,Elmbrook Park,2013,55800.0,354,184184,7575.0
110,Keelesdale-Eglinton West,EG,Evelyn Gregory,2013,60925.0,490,82785,29788.0
052,Bayview Village,EN,Ethennonnhawahstihnen',2013,205213.0,2343,499535,25243.0
120,Clairlea-Birchmount,ES,Eglinton Square,2013,217688.0,1491,283051,39200.0
102,Forest Hill North,FH,Forest Hill,2013,90188.0,890,215971,19988.0
044,Flemingdon Park,FP,Flemingdon Park,2013,150363.0,1399,173555,59211.0
065,Greenwood-Coxwell,GE,Gerrard/Ashdale,2013,99125.0,539,194083,21888.0
130,Milliken,GHP,Goldhawk Park,2013,184713.0,818,309625,48736.0
140,Guildwood,GW,Guildwood,2013,51138.0,336,134737,12550.0
016,Stonegate-Queensway,HB,Humber Bay,2013,53538.0,634,185845,8675.0
134,Highland Creek,HC,Highland Creek,2013,60375.0,785,204248,22513.0
048,Hillcrest Village,HIL,Hillcrest,2013,222063.0,1350,468119,55275.0
087,High Park-Swansea,HP,High Park,2013,235163.0,1158,347145,41600.0
021,Humber Summit,HS,Humber Summit,2013,48263.0,743,89453,30800.0
001,West Humber-Clairville,HW,Humberwood,2013,212738.0,482,101325,36038.0
089,Runnymede-Bloor West Village,JD,Jane/Dundas,2013,168775.0,2561,290200,75575.0
