NBHDNo,NBHDName,BranchCode,BranchName,Year,Visits
085,South Parkdale,PK,Parkdale,2012,315734
073,Moss Park,PL,Parliament Street,2012,205094
095,Annex,PM,Palmerston,2012,119602
133,Centennial Scarborough,PU,Port Union,2012,134834
046,Pleasant View,PV,Pleasant View,2012,103343
070,South Riverdale,QS,Queen/Saulter,2012,60209
068,North Riverdale,RD,Riverdale,2012,231360
007,Willowridge-Martingrove-Richview,RI,Richview,2012,421962
088,High Park North,RN,Runnymede,2012,325843
004,Rexdale-Kipling,RX,Rexdale,2012,45502
078,Kensington-Chinatown,SA,Sanderson,2012,352949
091,Weston-Pellam Park,SI,St. Clair/Silverthorn,2012,41997
074,North St. James Town,SJ,St. James Town,2012,198384
