NBHDNo,NBHDName,BranchCode,BranchName,Year,Registrations
107,Oakwood-Vaughan,MAS,Maria A. Shchuka,2012,1806
126,Dorset Park,MCG,McGregor Park,2012,1321
115,Mount Dennis,MD,Mount Dennis,2012,3
160,Mimico-Queensway,MI,Mimico Centennial,2012,834
099,Mount Pleasant East,MP,Mount Pleasant,2012,510
119,Wexford-Maryvale,MRV,Maryvale,2012,994
136,West Hill,MS,Morningside,2012,1146
100,Yonge-Eglinton,ND,Northern District,2012,2755
001,West Humber-Clairville,NE,Northern Elms,2012,446
018,New Toronto,NT,New Toronto,2012,583
107,Oakwood-Vaughan,OV,Oakwood Village Library and Arts Centre,2012,600
069,Blake-Jones,PA,Pape/Danforth,2012,1397
171,Junction-Wallace Emerson,PE,Perth/Dupont,2012,185
085,South Parkdale,PK,Parkdale,2012,1994
073,Moss Park,PL,Parliament Street,2012,1649
095,Annex,PM,Palmerston,2012,754
133,Centennial Scarborough,PU,Port Union,2012,819
046,Pleasant View,PV,Pleasant View,2012,713
070,South Riverdale,QS,Queen/Saulter,2012,417
068,North Riverdale,RD,Riverdale,2012,986
007,Willowridge-Martingrove-Richview,RI,Richview,2012,3082
088,High Park North,RN,Runnymede,2012,1782
004,Rexdale-Kipling,RX,Rexdale,2012,421
078,Kensington-Chinatown,SA,Sanderson,2012,1419
091,Weston-Pellam Park,SI,St. Clair/Silverthorn,2012,306
074,North St. James Town,SJ,St. James Town,2012,1828
166,St Lawrence-East Bayfront-The Islands,SL,St. Lawrence,2012,915
095,Annex,SP,Spadina Road,2012,754
116,Steeles,ST,Steeles,2012,902
087,High Park-Swansea,SW,Swansea Memorial,2012,88
059,Danforth Village - East York,SWS,S. Walter Stewart,2012,1360
122,Birchcliffe-Cliffside,TA,Taylor Memorial,2012,443
055,Thorncliffe Park,TH,Thorncliffe,2012,1555
058,Old East York,TOD,Todmorden Room,2012,157
098,Rosedale-Moore Park,TRL,Toronto Reference Library,2012,8682
043,Victoria Village,VV,Victoria Village,2012,427
113,Weston,WE,Weston,2012,1092
022,Humbermede,WP,Woodview Park,2012,515
129,Agincourt North,WS,Woodside Square,2012,2013
096,Casa Loma,WY,Wychwood,2012,845
095,Annex,YO,Yorkville,2012,1042
025,Glenfield-Jane Heights,YW,York Woods,2012,3008
002,Mount Olive-Silverstone-Jamestown,AB,Albion,2013,4483
120,Clairlea-Birchmount,ACD,Albert Campbell,2013,1770
020,Alderwood,AD,Alderwood,2013,504
118,Tam O'Shanter-Sullivan,AG,Agincourt,2013,3586
039,Bedford Park-Nortown,AH,Armour Heights,2013,501
090,Junction Area,AN,Annette Street,2013,814
030,Brookhaven-Amesbury,AP,Amesbury Park,2013,911
150,Fenside-Parkwoods,BB,Brookbanks,2013,807
154,Oakdale-Beverley Heights,BC,Black Creek,2013,1063
157,Bendale South,BD,Bendale,2013,823
063,The Beaches,BE,Beaches,2013,1481
032,Englemount-Lawrence,BF,Barbara Frum,2013,1848
083,Dufferin Grove,BL,Bloor/Gladstone,2013,2698
015,Kingsway South,BR,Brentwood,2013,2280
147,L'Amoreaux West,BRW,Bridlewood,2013,2099
146,Malvern East,BUR,Burrows Hall,2013,967
123,Cliffcrest,CC,Cliffcrest,2013,789
035,Westminster-Branson,CE,Centennial,2013,1836
141,Golfdale-Cedarbrae-Woburn,CED,Cedarbrae,2013,4395
170,Yonge-Bay Corridor,CH,City Hall,2013,1992
037,Willowdale West,CL,North York Central Library,2013,11924
080,Palmerston-Little Italy,CS,College/Shaw,2013,950
064,Woodbine Corridor,DA,Danforth/Coxwell,2013,1110
042,Banbury-Don Mills,DM,Don Mills,2013,1898
155,Downsview,DO,Downsview,2013,1920
098,Rosedale-Moore Park,DP,Deer Park,2013,1844
054,O'Connor-Parkview,DR,Dawes Road,2013,1326
094,Wychwood,DT,Davenport,2013,240
092,Corso Italia-Davenport,DU,Dufferin/St. Clair,2013,954
158,Islington,EA,Eatonville,2013,2285
011,Eringate-Centennial-West Deane,EB,Elmbrook Park,2013,354
110,Keelesdale-Eglinton West,EG,Evelyn Gregory,2013,490
052,Bayview Village,EN,Ethennonnhawahstihnen',2013,2343
120,Clairlea-Birchmount,ES,Eglinton Square,2013,1491
102,Forest Hill North,FH,Forest Hill,2013,890
044,Flemingdon Park,FP,Flemingdon Park,2013,1399
047,Don Valley Village,FV,Fairview,2013,26
065,Greenwood-Coxwell,GE,Gerrard/Ashdale,2013,539
130,Milliken,GHP,Goldhawk Park,2013,818
140,Guildwood,GW,Guildwood,2013,336
016,Stonegate-Queensway,HB,Humber Bay,2013,634
134,Highland Creek,HC,Highland Creek,2013,785
048,Hillcrest Village,HIL,Hillcrest,2013,1350
087,High Park-Swansea,HP,High Park,2013,1158
021,Humber Summit,HS,Humber Summit,2013,743
001,West Humber-Clairville,HW,Humberwood,2013,482
089,Runnymede-Bloor West Village,JD,Jane/Dundas,2013,2561
070,South Riverdale,JO,Jones,2013,633
025,Glenfield-Jane Heights,JS,Jane/Sheppard,2013,1330
125,Ionview,KE,Kennedy/Eglinton,2013,1539
019,Long Branch,LB,Long Branch,2013,660
056,Leaside-Bennington,LE,Leaside,2013,1103
103,Lawrence Park South,LO,Locke,2013,1547
078,Kensington-Chinatown,LS,Lillian H. Smith,2013,3254
062,East End-Danforth,MA,Main Street,2013,836
146,Malvern East,MAL,Malvern,2013,2661
107,Oakwood-Vaughan,MAS,Maria A. Shchuka,2013,1791
126,Dorset Park,MCG,McGregor Park,2013,1346
115,Mount Dennis,MD,Mount Dennis,2013,995
160,Mimico-Queensway,MI,Mimico Centennial,2013,816
099,Mount Pleasant East,MP,Mount Pleasant,2013,591
119,Wexford-Maryvale,MRV,Maryvale,2013,1102
136,West Hill,MS,Morningside,2013,1038
100,Yonge-Eglinton,ND,Northern District,2013,2665
001,West Humber-Clairville,NE,Northern Elms,2013,414
018,New Toronto,NT,New Toronto,2013,568
107,Oakwood-Vaughan,OV,Oakwood Village Library and Arts Centre,2013,604
069,Blake-Jones,PA,Pape/Danforth,2013,1538
171,Junction-Wallace Emerson,PE,Perth/Dupont,2013,234
085,South Parkdale,PK,Parkdale,2013,1883
073,Moss Park,PL,Parliament Street,2013,1632
095,Annex,PM,Palmerston,2013,765
133,Centennial Scarborough,PU,Port Union,2013,850
046,Pleasant View,PV,Pleasant View,2013,1192
070,South Riverdale,QS,Queen/Saulter,2013,424
068,North Riverdale,RD,Riverdale,2013,1014
007,Willowridge-Martingrove-Richview,RI,Richview,2013,2608
088,High Park North,RN,Runnymede,2013,1727
004,Rexdale-Kipling,RX,Rexdale,2013,422
078,Kensington-Chinatown,SA,Sanderson,2013,1492
091,Weston-Pellam Park,SI,St. Clair/Silverthorn,2013,290
074,North St. James Town,SJ,St. James Town,2013,1695
166,St Lawrence-East Bayfront-The Islands,SL,St. Lawrence,2013,1141
095,Annex,SP,Spadina Road,2013,691
116,Steeles,ST,Steeles,2013,1058
087,High Park-Swansea,SW,Swansea Memorial,2013,67
059,Danforth Village - East York,SWS,S. Walter Stewart,2013,1293
122,Birchcliffe-Cliffside,TA,Taylor Memorial,2013,317
055,Thorncliffe Park,TH,Thorncliffe,2013,2090
058,Old East York,TOD,Todmorden Room,2013,192
098,Rosedale-Moore Park,TRL,Toronto Reference Library,2013,9618
043,Victoria Village,VV,Victoria Village,2013,429
113,Weston,WE,Weston,2013,873
022,Humbermede,WP,Woodview Park,2013,647
129,Agincourt North,WS,Woodside Square,2013,2229
096,Casa Loma,WY,Wychwood,2013,1000
095,Annex,YO,Yorkville,2013,1052
025,Glenfield-Jane Heights,YW,York Woods,2013,2280
002,Mount Olive-Silverstone-Jamestown,AB,Albion,2014,3810
120,Clairlea-Birchmount,ACD,Albert Campbell,2014,1782
020,Alderwood,AD,Alderwood,2014,543
118,Tam O'Shanter-Sullivan,AG,Agincourt,2014,3171
039,Bedford Park-Nortown,AH,Armour Heights,2014,608
090,Junction Area,AN,Annette Street,2014,878
030,Brookhaven-Amesbury,AP,Amesbury Park,2014,1020
150,Fenside-Parkwoods,BB,Brookbanks,2014,705
154,Oakdale-Beverley Heights,BC,Black Creek,2014,1206
157,Bendale South,BD,Bendale,2014,838
063,The Beaches,BE,Beaches,2014,1523
032,Englemount-Lawrence,BF,Barbara Frum,2014,2053
083,Dufferin Grove,BL,Bloor/Gladstone,2014,3109
015,Kingsway South,BR,Brentwood,2014,2032
147,L'Amoreaux West,BRW,Bridlewood,2014,2016
146,Malvern East,BUR,Burrows Hall,2014,825
123,Cliffcrest,CC,Cliffcrest,2014,765
035,Westminster-Branson,CE,Centennial,2014,1604
