NBHDNo,NBHDName,TSNS 2020 Designation,Total - Income statistics for private households - 25% sample data,Median total income of private household in 2020 ($),Total - Income statistics for economic families in private households - 25% sample data,Median total income of economic family in 2020 ($),Participation rate,Employment rate,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data","No certificate, diploma or degree","No certificate, diploma or degree (%)",High (secondary) school diploma or equivalency certificate,High (secondary) school diploma or equivalency certificate (%),"Postsecondary certificate, diploma or degree","Postsecondary certificate, diploma or degree (%)"
044,Flemingdon Park,Neighbourhood Improvement Area,8195,70000,5775,81000,57.1,47.7,18375,3560,19.37,4900,26.67,9915,53.96
046,Pleasant View,Not an NIA or Emerging Neighbourhood,5445,89000,4165,100000,57.6,47.9,13410,1990,14.84,3305,24.65,8115,60.51
047,Don Valley Village,Not an NIA or Emerging Neighbourhood,10235,83000,7380,95000,61.1,52.0,22945,2485,10.83,4975,21.68,15485,67.49
048,Hillcrest Village,Not an NIA or Emerging Neighbourhood,6385,86000,4685,105000,52.4,45.3,14395,1665,11.57,2945,20.46,9785,67.97
049,Bayview Woods-Steeles,Not an NIA or Emerging Neighbourhood,4755,93000,3475,109000,53.8,46.6,10770,1040,9.66,2415,22.42,7315,67.92
050,Newtonbrook East,Not an NIA or Emerging Neighbourhood,6165,80000,4185,100000,59.8,52.0,13770,1170,8.5,3085,22.4,9510,69.06
052,Bayview Village,Not an NIA or Emerging Neighbourhood,10460,83000,6410,105000,64.9,56.0,19935,1070,5.37,3495,17.53,15375,77.13
053,Henry Farm,Not an NIA or Emerging Neighbourhood,8515,79500,5255,93000,70.8,61.1,16970,1330,7.84,2915,17.18,12730,75.01
054,O`Connor Parkview,Not an NIA or Emerging Neighbourhood,7460,77000,4870,102000,60.0,49.7,15500,2745,17.71,4255,27.45,8500,54.84
055,Thorncliffe Park,Neighbourhood Improvement Area,7065,67000,4760,74500,56.4,46.3,15425,2905,18.83,4320,28.01,8205,53.19
056,Leaside-Bennington,Not an NIA or Emerging Neighbourhood,6435,148000,4595,218000,65.5,58.2,13630,1145,8.4,2360,17.31,10125,74.28
057,Broadview North,Not an NIA or Emerging Neighbourhood,5275,68500,2935,95000,65.9,56.1,9490,1355,14.28,2310,24.34,5825,61.38
058,Old East York,Not an NIA or Emerging Neighbourhood,3725,96000,2530,129000,64.1,56.3,7740,1070,13.82,1875,24.22,4800,62.02
059,Danforth-East York,Not an NIA or Emerging Neighbourhood,6945,101000,4795,133000,67.4,59.9,13995,2215,15.83,2815,20.11,8960,64.02
060,Woodbine-Lumsden,Not an NIA or Emerging Neighbourhood,3380,96000,2230,125000,66.7,58.7,6620,835,12.61,1520,22.96,4265,64.43
061,Taylor Massey,Neighbourhood Improvement Area,6010,68500,3825,82000,63.5,51.5,12340,1740,14.1,3065,24.84,7540,61.1
062,East End Danforth,Not an NIA or Emerging Neighbourhood,9500,90000,5995,130000,68.5,59.7,18105,2175,12.01,3805,21.02,12125,66.97
063,The Beaches,Not an NIA or Emerging Neighbourhood,9430,116000,6035,172000,68.4,60.9,17850,1315,7.37,3470,19.44,13065,73.19
064,Woodbine Corridor,Not an NIA or Emerging Neighbourhood,5235,97000,3400,144000,68.2,60.8,9890,1230,12.44,1995,20.17,6665,67.39
065,Greenwood-Coxwell,Not an NIA or Emerging Neighbourhood,6035,93000,3805,130000,66.8,58.8,11570,1740,15.04,2625,22.69,7205,62.27
066,Danforth,Not an NIA or Emerging Neighbourhood,3910,98000,2475,149000,65.1,57.4,7775,1120,14.41,1670,21.48,4980,64.05
067,Playter Estates-Danforth,Not an NIA or Emerging Neighbourhood,3645,87000,1970,152000,66.2,57.0,6590,700,10.62,1200,18.21,4690,71.17
068,North Riverdale,Not an NIA or Emerging Neighbourhood,4905,108000,3120,160000,66.8,60.6,9505,1040,10.94,1525,16.04,6935,72.96
069,Blake-Jones,Not an NIA or Emerging Neighbourhood,3100,86000,2010,119000,64.4,55.8,6215,1000,16.09,1395,22.45,3820,61.46
070,South Riverdale,Not an NIA or Emerging Neighbourhood,12710,100000,7540,137000,72.7,63.2,23880,3450,14.45,4450,18.63,15980,66.92
071,Cabbagetown-South St. James Town,Not an NIA or Emerging Neighbourhood,6195,76500,2745,124000,67.8,59.0,10120,730,7.21,1990,19.66,7405,73.17
072,Regent Park,Neighbourhood Improvement Area,6110,65500,3075,84000,61.9,51.0,11010,1655,15.03,2760,25.07,6595,59.9
073,Moss Park,Not an NIA or Emerging Neighbourhood,13290,65000,4675,105000,72.3,61.7,19920,1915,9.61,3650,18.32,14350,72.04
